family,subfamily_sci,subfamily_common,sciName,comName,BAMONA,date.observed,number,observer,year,month,day,location,source,image
Hesperiidae,Hesperiinae,Grass Skipper,Lerema accius,Clouded Skipper,https://www.butterfliesandmoths.org/species/Lerema-accius,9/11/1987,1,J. Nekola,1987,9,11,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Hesperiidae,Hesperiinae,Grass Skipper,Ancyloxypha numitor,Least Skipper,https://www.butterfliesandmoths.org/species/Ancyloxypha-numitor,9/11/1987,1,J. Nekola,1987,9,11,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Hesperiidae,Hesperiinae,Grass Skipper,Atalopedes campestris,Sachem,https://www.butterfliesandmoths.org/species/Atalopedes-campestris,9/11/1988,1,J. Nekola,1988,9,11,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Hesperiidae,Hesperiinae,Grass Skipper,Euphyes dion,Dion Skipper,https://www.butterfliesandmoths.org/species/Euphyes-dion,9/10/1994,1,SPH,1994,9,10,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Nymphalidae,Apaturinae,Emperors,Asterocampa celtis,Hackberry Emperor,https://www.butterfliesandmoths.org/species/Asterocampa-celtis,9/9/1995,1,J. Pippen,1995,9,9,bot,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Nymphalidae,Libytheinae,Snout Butterflies,Libytheana carinenta,American Snout,https://www.butterfliesandmoths.org/species/Libytheana-carinenta,5/19/1996,4,HEL,1996,5,19,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Nymphalidae,Apaturinae,Emperors,Asterocampa celtis,Hackberry Emperor,https://www.butterfliesandmoths.org/species/Asterocampa-celtis,5/19/1996,4,HEL,1996,5,19,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Nymphalidae,Limenitidinae,Admirals,Limenitis archippus,Viceroy,https://www.butterfliesandmoths.org/species/Limenitis-archippus,5/19/1996,3,HEL,1996,5,19,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Nymphalidae,Satyrinae,Satyrs,Enodia anthedon,Northern Pearly-eye,https://www.butterfliesandmoths.org/species/Enodia-anthedon,8/3/1997,1,G. Dodge,1997,8,3,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
Hesperiidae,Pyrginae,Spread-winged Skipper,Erynnis juvenalis,Juvenal's Duskywing,https://www.butterfliesandmoths.org/species/Erynnis-juvenalis,3/29/1998,1,R. Emmitt,1998,3,29,mf,legrand,http://www.londonbaystationery.com/Images/butterfly.jpg
